"","","","","","","","","","","","","","","","","","","","",""
"Pour chacune de ces affirmations, sélectionnez l'option qui reflète le mieux votre ressenti à propos de cette unité d'enseignement","","","","","","","","","","","","J'ai eu des difficultés à comprendre les sujets suivants","","","","","","","Inscription à un ou des cours d'appui",""
"Les attentes et les objectifs sont clairement définis","Les contenus (supports, présentations, consignes, énoncés, etc.) sont pertinents et me permettent de travailler de façon autonome","Les présentations orales sont pertinentes et permettent de mieux comprendre la matière","Lorsque j’ai rencontré des difficultés, j’ai pu trouver des réponses à mes questions (grâce aux discussions en classe, aux supports de cours, etc.)","Je me sens capable de réaliser une petite application web avec PHP pour gérer une collection d'objets (visualisation, insertion, modification et suppression)","J'apprécie la durée courte des parties théoriques au début de chaque cours","Les mini-projets et les exercices sont pertinents et adaptés à mon niveau","L'unité d'enseignement est variée, motivante et permet de ne pas m'ennuyer","J'ai réalisé tous les mini-projets et exercices proposés","J'aurais plaisir à suivre une unité d'enseignement qui reprend la même méthode d'enseignement","J'ai particulièrement apprécié...","J'ai moins apprécié et je propose...","Introduction à PHP","Fonctions","Tableaux et boucles","Formulaires HTML et validation","Base de données et PDO","Sécurité et nettoyage des saisies utilisateurs","Programmation orientée objet","J'aimerais pouvoir avoir un ou des cours d'appui","Autres remarques et commentaires"
"Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Pas d'accord ★★☆☆","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Les support de cours et le github","Les exercices, car la plupart du temps le projet prend trop de place ou inversement ce qui donne des devoirs supplémentaires ","","","","","X","X","","",""
"Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Pas d'accord ★★☆☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Les supports particulièrement complets, la pédagogie et disponibilité du professeur","","","","","","X","X","X","",""
"Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","les cours théoriques car ils m'ont permis de mieux comprendre la matière","rien de particulier","","","","X","","X","","X","pas spécialement"
"Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Pas d'accord ★★☆☆","Plutôt d'accord ★★★☆","","","","","","","","X","X","",""
"Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Le support de cours complet avec exemples. Travailler en autonomie.","La théorie au début va relativement vite pour des nouveaux concepts, je pense que de mieux répartir les exercices avec la théorie, par exemple en faisant un petit exercice en commun lors de chaque nouveau concept de la leçon, serait pertinent. Cela aiderait peut-être les étudiants avec le plus de difficultés à mieux comprendre la matière.","","","","","X","","","",""
"Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Le format du cours, avec les parties théoriques courtes au début et les parties pratiques ensuite. Cela permet vraiment d'être bien concentré durant toute la théorie et également le fait de pouvoir s'en aller une fois que nous avons terminé la partie pratique du jour est une motivation supplémentaire.","Le format du mini-projet (parfois), où il fallait souvent copier coller une centaine de lignes de code. Je pense qu'il serait mieux de faire des parties de mini-projet plus courtes avec un format comme les exercices, où l'on doit répondre à des besoins et ensuite comparer avec la solution.","","","","X","","X","","",""
"Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","La structure est parfaite et les supports de cours aussi. Les exercices sont cohérents et permettent de bien appliquer la théorie.","Le mini-projet est une bonne idée mais le problème est qu’au final on ne fait presque que copier-coller et du coup ils nous apportent pas beaucoup de connaissances à part le fait d’avoir une application concrète.","","","","X","","","","",""
"Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","la clarté des explications et le prof qui vient voir tout le monde pour savoir si il y a des difficultés.
Les consignes du mini projet sont super bien écrite et les réponses permette de progresser a notre rythme","rien","","","X","","","","","","tout était vraiment très bien, le cours avec la meilleure pédagogie"
"Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Pas d'accord ★★☆☆","Pas d'accord ★★☆☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Pas d'accord ★★☆☆","Tout à fait d'accord ★★★★","vos explications claire et votre façon d'enseigner","parfois j'avais l'impression que on faisait de la théorie sur un sujet très compliqué et qu'on regardait la théorie super vite, et je propose de peut-être prendre plus de temps sur des sujets plus compliqué etc","","","X","","X","","X","","malgré mes difficulté vous avez été le prof que j'ai préféré écouté et suivre le cours, vous êtes bienveillant et vous voulez vraiment nous enseigner vos connaissance"
"Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Les supports de cours étaient très complets et clairs. Les instructions pas à pas permettent de bien comprendre le sujet.","Les cours étaient trop espacés entre eux. J'aurais préféré les avoir de manière hebdomadaire.

Les supports de cours sont des fois trop complets et il est souvent difficile d'apprendre et comprendre par soi-même.
","","","","","","","","",""
"Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Pas d'accord ★★☆☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Pas du tout d'accord ★☆☆☆","Tout à fait d'accord ★★★★","Les ppt sont très complet et bien expliquer. Le fait de montrer l’écriture en java aussi permet de comprendre en se basant sur un langage qu’on connaît déjà partiellement et de mieux comprendre l’utilisation de php.","Le fait de donner les solutions directement m’a empêcher de vraiment chercher les réponses, il faudrait peut-être faire en sorte de les montrer seulement à la fin du cours ou la période suivante.","","","X","","X","X","","X",""
"Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Pas d'accord ★★☆☆","Tout à fait d'accord ★★★★","La bienveillance et la présence du professeur pour répondre aux questions en prenant le temps et de s'assurer qu'il a aidé. Le cours est vraiment bien expliqué, un des seuls de programmation auquel j'ai pri du plaisir.","","","","","","X","","X","X",""
"Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Pas d'accord ★★☆☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Pas d'accord ★★☆☆","Pas d'accord ★★☆☆","Plutôt d'accord ★★★☆","Le support de cours sur github est incroyable, on a jamais eu autant d‘aide pour travailler en autonomie.","Tout était bien mais à cause de la masse de travail et la fin de l’année j‘ai eu du mal à suivre la partie théorique et désolé car je ne sais pas quoi proposer","","","","","","X","","",""
